Interface,Datetime,Value,Lon0,Lat0,Lon1,Lat1
A_B,1/5/2030 19:00,675,130,-12,153,-27
A_B,1/5/2030 20:00,675,130,-12,153,-27
A_B,1/5/2030 21:00,675,130,-12,153,-27
A_B,1/5/2030 22:00,675,130,-12,153,-27
A_B,1/5/2030 23:00,675,130,-12,153,-27
A_B,1/6/2030 0:00,675,130,-12,153,-27
A_B,1/6/2030 1:00,675,130,-12,153,-27
A_B,1/6/2030 2:00,675,130,-12,153,-27
A_B,1/6/2030 3:00,675,130,-12,153,-27
A_B,1/6/2030 4:00,675,130,-12,153,-27
A_B,1/6/2030 5:00,220.17,130,-12,153,-27
A_B,1/6/2030 6:00,675,130,-12,153,-27
A_B,1/6/2030 7:00,675,130,-12,153,-27
A_B,1/6/2030 8:00,539.14,130,-12,153,-27
A_B,1/6/2030 9:00,596.3,130,-12,153,-27
A_B,1/6/2030 10:00,654.77,130,-12,153,-27
A_B,1/6/2030 11:00,675,130,-12,153,-27
A_B,1/6/2030 12:00,675,130,-12,153,-27
A_B,1/6/2030 13:00,675,130,-12,153,-27
A_B,1/6/2030 14:00,675,130,-12,153,-27
A_B,1/6/2030 15:00,552.57,130,-12,153,-27
A_B,1/6/2030 16:00,430.02,130,-12,153,-27
A_B,1/6/2030 17:00,472.79,130,-12,153,-27
A_B,1/6/2030 18:00,467.76,130,-12,153,-27
A_B,1/6/2030 19:00,559.63,130,-12,153,-27
A_B,1/6/2030 20:00,604.63,130,-12,153,-27
A_B,1/6/2030 21:00,656.57,130,-12,153,-27
A_B,1/6/2030 22:00,675,130,-12,153,-27
A_B,1/6/2030 23:00,661.23,130,-12,153,-27
A_B,1/7/2030 0:00,299.27,130,-12,153,-27
A_B,1/7/2030 1:00,299.27,130,-12,153,-27
A_B,1/7/2030 2:00,174.36,130,-12,153,-27
A_B,1/7/2030 3:00,251.27,130,-12,153,-27
A_B,1/7/2030 4:00,299.27,130,-12,153,-27
A_B,1/7/2030 5:00,437.71,130,-12,153,-27
A_B,1/7/2030 6:00,299.27,130,-12,153,-27
A_B,1/7/2030 7:00,675,130,-12,153,-27
A_B,1/7/2030 8:00,512.15,130,-12,153,-27
A_B,1/7/2030 9:00,617.59,130,-12,153,-27
A_B,1/7/2030 10:00,267.42,130,-12,153,-27
A_B,1/7/2030 11:00,675,130,-12,153,-27
A_B,1/7/2030 12:00,675,130,-12,153,-27
A_B,1/7/2030 13:00,675,130,-12,153,-27
A_B,1/7/2030 14:00,675,130,-12,153,-27
A_B,1/7/2030 15:00,540.85,130,-12,153,-27
A_B,1/7/2030 16:00,398.7,130,-12,153,-27
A_B,1/7/2030 17:00,479.39,130,-12,153,-27
A_B,1/7/2030 18:00,482.05,130,-12,153,-27
A_B,1/7/2030 19:00,520.54,130,-12,153,-27
A_B,1/7/2030 20:00,522.75,130,-12,153,-27
A_B,1/7/2030 21:00,675,130,-12,153,-27
A_B,1/7/2030 22:00,675,130,-12,153,-27
A_B,1/7/2030 23:00,675,130,-12,153,-27
B_C,1/1/2030 0:00,1536,153,-27,151,-34
B_C,1/1/2030 1:00,1517.49,153,-27,151,-34
B_C,1/1/2030 2:00,665.23,153,-27,151,-34
B_C,1/1/2030 3:00,648.48,153,-27,151,-34
B_C,1/1/2030 4:00,587.41,153,-27,151,-34
B_C,1/1/2030 5:00,284.63,153,-27,151,-34
B_C,1/1/2030 6:00,1487.21,153,-27,151,-34
B_C,1/1/2030 7:00,1882.35,153,-27,151,-34
B_C,1/1/2030 8:00,2614.73,153,-27,151,-34
B_C,1/1/2030 9:00,1461.18,153,-27,151,-34
B_C,1/1/2030 10:00,1461.4,153,-27,151,-34
B_C,1/1/2030 11:00,1502.66,153,-27,151,-34
B_C,1/1/2030 12:00,1813.69,153,-27,151,-34
B_C,1/1/2030 13:00,2736.69,153,-27,151,-34
B_C,1/1/2030 14:00,3171.87,153,-27,151,-34
B_C,1/1/2030 15:00,2942.11,153,-27,151,-34
B_C,1/1/2030 16:00,2523.84,153,-27,151,-34
B_C,1/1/2030 17:00,2709.7,153,-27,151,-34
B_C,1/1/2030 18:00,2297.53,153,-27,151,-34
B_C,1/1/2030 19:00,2253.67,153,-27,151,-34
B_C,1/1/2030 20:00,2155.25,153,-27,151,-34
B_C,1/1/2030 21:00,1943.13,153,-27,151,-34
B_C,1/1/2030 22:00,1610.15,153,-27,151,-34
B_C,1/1/2030 23:00,1143.52,153,-27,151,-34
B_C,1/2/2030 0:00,472.31,153,-27,151,-34
B_C,1/2/2030 1:00,309.42,153,-27,151,-34
B_C,1/2/2030 2:00,-457.23,153,-27,151,-34
B_C,1/2/2030 3:00,-392.16,153,-27,151,-34
B_C,1/2/2030 4:00,-302.17,153,-27,151,-34
B_C,1/2/2030 5:00,-191.76,153,-27,151,-34
B_C,1/2/2030 6:00,1485.76,153,-27,151,-34
B_C,1/2/2030 7:00,1798.63,153,-27,151,-34
B_C,1/2/2030 8:00,2764.1,153,-27,151,-34
B_C,1/2/2030 9:00,2236.53,153,-27,151,-34
B_C,1/2/2030 10:00,2412.89,153,-27,151,-34
B_C,1/2/2030 11:00,1663.58,153,-27,151,-34
B_C,1/2/2030 12:00,1595.55,153,-27,151,-34
B_C,1/2/2030 13:00,1956.91,153,-27,151,-34
B_C,1/2/2030 14:00,1748.38,153,-27,151,-34
B_C,1/2/2030 15:00,2421.16,153,-27,151,-34
B_C,1/2/2030 16:00,2119.32,153,-27,151,-34
B_C,1/2/2030 17:00,2321.56,153,-27,151,-34
B_C,1/2/2030 18:00,2179.64,153,-27,151,-34
B_C,1/2/2030 19:00,2203.3,153,-27,151,-34
B_C,1/2/2030 20:00,2559.33,153,-27,151,-34
B_C,1/2/2030 21:00,1707.65,153,-27,151,-34
B_C,1/2/2030 22:00,1015.39,153,-27,151,-34
B_C,1/2/2030 23:00,1001.44,153,-27,151,-34
B_C,1/3/2030 0:00,591.75,153,-27,151,-34
B_C,1/3/2030 1:00,-42.65,153,-27,151,-34
B_C,1/3/2030 2:00,-608.57,153,-27,151,-34
B_C,1/3/2030 3:00,35.89,153,-27,151,-34
B_C,1/3/2030 4:00,-320.36,153,-27,151,-34
B_C,1/3/2030 5:00,-720.11,153,-27,151,-34
B_C,1/3/2030 6:00,-932.93,153,-27,151,-34
B_C,1/3/2030 7:00,-1145.38,153,-27,151,-34
B_C,1/3/2030 8:00,-1507.49,153,-27,151,-34
B_C,1/3/2030 9:00,-2075.3,153,-27,151,-34
B_C,1/3/2030 10:00,-1990.38,153,-27,151,-34
B_C,1/3/2030 11:00,-710.31,153,-27,151,-34
B_C,1/3/2030 12:00,-984.33,153,-27,151,-34
B_C,1/3/2030 13:00,-547.27,153,-27,151,-34
B_C,1/3/2030 14:00,-648.25,153,-27,151,-34
